IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2403197548,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  57.53 
NC2403197567,02/29/24,03/03/24,Other Ground Transportation,53141,201471-10046,  381.24 
NC2403197569,03/07/24,03/09/24,Other Ground Transportation,53141,673501,  27.48 
NC2403197570,02/29/24,03/01/24,Mileage,53141,361471-10003,  356.44 
NC2403197603,03/11/24,03/13/24,Mileage,53141,404050-45146,  18.76 
NC2403197619,12/03/23,12/04/23,Mileage,53141,376417-11217,  108.73 
NC2403207632,11/14/23,11/17/23,Other Ground Transportation,53141,535594-02981,  587.76 
NC2403207635,11/19/23,11/20/23,Mileage,53141,535594-02981,  362.87 
NC2403207636,02/23/24,02/23/24,Other Ground Transportation,53141,214020-00005,  54.04 
NC2403207639,02/25/24,02/27/24,Other Ground Transportation,53141,214020-00005,  74.40 
NC2403207641,03/07/24,03/09/24,Mileage,53141,673501,  503.84 
NC2403207656,03/07/24,03/09/24,Other Ground Transportation,53141,257585-04003,  155.51 
NC2403207670,03/04/24,03/05/24,Mileage,53141,201430-07430,  225.79 
NC2403207673,02/09/24,02/09/24,Mileage,53141,580278,  40.20 
NC2403207673,02/09/24,02/09/24,Other Ground Transportation,53141,580278,  8.00 
NC2403207681,02/28/24,03/01/24,Mileage,53141,660103-05232,  160.80 
NC2403207696,03/07/24,03/09/24,Mileage,53141,673501,  333.66 
NC2403207700,03/01/24,03/02/24,Mileage,53141,201586-50017,  328.30 
NC2403207720,02/07/24,02/11/24,Other Ground Transportation,53141,680865,  77.83 
NC2403217743,02/26/24,02/27/24,Other Ground Transportation,53141,500624,  247.65 
NC2403217782,03/02/24,03/09/24,Other Ground Transportation,53141,535742,  63.75 
NC2403217782,03/02/24,03/09/24,Mileage,53141,535742,  45.56 
NC2403217784,03/08/24,03/12/24,Other Ground Transportation,53141,201471-10044,  103.02 
NC2403217792,03/12/24,03/15/24,Other Ground Transportation,53141,532420,  162.00 
NC2403217798,02/29/24,03/02/24,Mileage,53141,201586-50017,  67.00 
NC2403217807,03/12/24,03/14/24,Mileage,53141,568319-09942,  53.60 
NC2403217807,03/12/24,03/14/24,Other Ground Transportation,53141,568319-09942,  36.00 
NC2403217823,11/08/23,11/09/23,Other Ground Transportation,53141,567719,  84.00 
NC2403217825,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  8.58 
NC2403217828,03/03/24,03/05/24,Other Ground Transportation,53141,204031,  27.00 
NC2403227866,03/17/24,03/18/24,Other Ground Transportation,53141,675317,  32.35 
NC2403227873,02/29/24,03/02/24,Mileage,53141,201586-50017,  399.99 
NC2403227884,02/25/24,02/29/24,Mileage,53141,573945-11119,  23.45 
NC2403227884,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  51.82 
NC2403227884,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  51.81 
NC2403227884,02/25/24,02/29/24,Mileage,53141,573933-11119,  23.45 
NC2403227899,03/07/24,03/09/24,Other Ground Transportation,53141,673501,  8.00 
NC2403227903,03/07/24,03/09/24,Other Ground Transportation,53141,673501,  30.00 
NC2403227903,03/07/24,03/09/24,Mileage,53141,673501,  215.74 
NC2403227908,03/19/24,03/21/24,Other Ground Transportation,53141,534605,  82.79 
NC2403227928,03/07/24,03/09/24,Other Ground Transportation,53141,301701,  89.99 
NC2403227933,03/01/24,,Mileage,53141,486750-10615,  162.14 
NC2403227937,03/08/24,,Mileage,53141,763909-11600,  418.08 
NC2403258008,02/29/24,03/02/24,Mileage,53141,663422,  230.48 
NC2403258014,03/09/24,03/16/24,Other Ground Transportation,53141,376532-61008,  486.08 
NC2403258034,10/19/23,10/22/23,Other Ground Transportation,53141,534887,  97.14 
NC2403258045,03/20/24,03/21/24,Other Ground Transportation,53141,572840,  51.34 
NC2403258045,03/20/24,03/21/24,Other Ground Transportation,53141,201471-10020,  42.00 
NC2403258061,03/06/24,03/08/24,Mileage,53141,201473-20185,  44.22 
NC2403258069,02/22/24,02/25/24,Other Ground Transportation,53141,214020-00005,  81.00 
NC2403258080,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  237.00 
NC2403258098,02/14/24,02/16/24,Other Ground Transportation,53141,660268,  21.94 
NC2403258107,03/09/24,03/14/24,Mileage,53141,376391,  20.10 
NC2403258107,03/09/24,03/14/24,Other Ground Transportation,53141,376391,  50.39 
NC2403258118,02/15/24,02/17/24,Other Ground Transportation,53141,201402,  131.11 
NC2403258159,02/26/24,,Mileage,53141,201323-02949,  243.88 
NC2403268187,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  59.00 
NC2403268202,03/17/24,03/23/24,Mileage,53141,375570-10239,  80.40 
NC2403268202,03/17/24,03/23/24,Other Ground Transportation,53141,375570-10239,  261.01 
NC2403268214,03/08/24,,Mileage,53141,763909-11600,  509.87 
NC2403268232,03/05/24,03/07/24,Mileage,53141,469320-10104,  328.30 
NC2403268266,03/09/24,03/09/24,Mileage,53141,301701,  39.53 
NC2403268288,03/08/24,03/16/24,Other Ground Transportation,53141,991465,  106.31 
NC2403268288,03/08/24,03/16/24,Mileage,53141,991465,  16.08 
NC2403278308,02/29/24,03/02/24,Mileage,53141,201586-50017,  151.42 
NC2403278313,03/01/24,03/03/24,Mileage,53141,500559,  162.14 
NC2403278321,02/27/24,02/29/24,Other Ground Transportation,53141,675317,  93.75 
NC2403278336,02/16/24,,Mileage,53141,487650-10615,  57.62 
NC2403278341,02/29/24,03/02/24,Mileage,53141,201586-50017,  242.54 
NC2403278347,02/08/24,02/09/24,Other Ground Transportation,53141,201586-50019,  246.93 
NC2403278362,03/25/24,03/26/24,Mileage,53141,224151,  296.14 
NC2403278383,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  107.74 
NC2403288396,03/03/24,03/05/24,Other Ground Transportation,53141,201586-50028,  164.90 
NC2403288413,03/18/24,,Mileage,53141,257585-04011,  419.42 
NC2403288423,03/21/24,03/22/24,Mileage,53141,682480,  114.57 
NC2403288429,02/25/24,03/03/24,Other Ground Transportation,53141,660268,  148.80 
NC2403288429,02/25/24,03/03/24,Mileage,53141,660268,  83.08 
NC2403288454,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  44.55 
NC2403288465,03/08/24,,Mileage,53141,763909-11600,  529.30 
NC2403288499,03/17/24,03/21/24,Other Ground Transportation,53141,429350-02817,  161.53 
NC2403288521,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  112.00 
NC2403288533,12/17/23,12/19/23,Other Ground Transportation,53141,567170,  85.00 
NC2403288534,02/24/24,02/26/24,Other Ground Transportation,53141,201049-05142,  80.11 
NC2403288536,01/31/24,02/02/24,Other Ground Transportation,53141,201049-05142,  47.97 
NC2403298560,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  612.77 
NC2403298561,02/22/24,02/25/24,Other Ground Transportation,53141,201585-13000,  108.30 
NC2404018631,03/21/24,03/24/24,Other Ground Transportation,53141,201471-10041,  69.00 
NC2404018631,03/21/24,03/24/24,Mileage,53141,201471-10041,  332.32 
NC2404018636,03/28/24,03/29/24,Other Ground Transportation,53141,201471-10040,  44.00 
NC2404018642,03/09/24,03/15/24,Other Ground Transportation,53141,568557,  55.61 
NC2404018642,03/09/24,03/15/24,Mileage,53141,568557,  36.18 
NC2404018644,03/05/24,03/07/24,Mileage,53141,469320-10104,  125.29 
NC2404018648,03/07/24,03/09/24,Mileage,53141,201569,  305.52 
NC2404018650,11/29/23,11/30/23,Other Ground Transportation,53141,201471-10040,  104.48 
NC2404018669,03/05/24,03/07/24,Mileage,53141,485050-10614,  206.36 
NC2404018673,03/07/24,03/15/24,Other Ground Transportation,53141,991787,  143.00 
NC2404018685,03/05/24,03/07/24,Mileage,53141,469320-10104,  147.40 
NC2404018693,03/05/24,03/07/24,Mileage,53141,469320-10104,  234.50 
NC2404018696,03/01/24,03/07/24,Other Ground Transportation,53141,201501,  27.23 
NC2404018700,03/05/24,03/07/24,Mileage,53141,469320-10104,  120.60 
NC2404018703,03/05/24,03/07/24,Mileage,53141,469320-10104,  50.25 
NC2404018707,03/05/24,03/07/24,Mileage,53141,469320-10104,  147.40 
NC2404018755,03/23/24,03/27/24,Other Ground Transportation,53141,687555,  24.00 
NC2404018755,03/23/24,03/27/24,Other Ground Transportation,53141,687252,  36.00 
NC2404028771,02/27/24,03/01/24,Other Ground Transportation,53141,257090,  168.31 
NC2404028785,03/19/24,03/21/24,Other Ground Transportation,53141,221062,  86.80 
NC2404028796,03/07/24,03/08/24,Mileage,53141,411050-05167,  133.33 
NC2404028803,03/29/24,03/29/24,Mileage,53141,444050-45146,  167.50 
NC2404028810,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  64.99 
NC2404028814,02/29/24,03/02/24,Mileage,53141,201584-50501,  141.37 
NC2404028817,03/18/24,03/20/24,Mileage,53141,201095-20415,  929.96 
NC2404028818,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  50.12 
NC2404028820,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  51.74 
NC2404028829,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  74.08 
NC2404028834,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  26.35 
NC2404028837,03/22/24,,Mileage,53141,567852,  343.04 
NC2404028838,03/01/24,03/02/24,Other Ground Transportation,53141,201584-50501,  25.47 
NC2404028840,03/22/24,,Mileage,53141,567852,  316.24 
NC2404028841,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  63.59 
NC2404028842,03/01/24,03/01/24,Mileage,53141,201584-50501,  26.80 
NC2404028843,02/25/24,02/27/24,Other Ground Transportation,53141,251430-02430,  160.23 
NC2404028848,03/04/24,03/09/24,Other Ground Transportation,53141,257400-10510,  26.20 
NC2404028857,03/26/24,03/28/24,Other Ground Transportation,53141,201637,  131.93 
NC2404038873,03/29/24,,Mileage,53141,201430-07430,  39.53 
NC2404038877,03/29/24,,Mileage,53141,201430-07430,  121.27 
NC2404038893,02/29/24,03/02/24,Mileage,53141,201586-50017,  262.64 
NC2404038893,02/29/24,03/02/24,Other Ground Transportation,53141,201586-50017,  15.35 
NC2404038908,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  133.00 
NC2404038922,03/11/24,03/17/24,Other Ground Transportation,53141,582646,  101.65 
NC2404038928,03/05/24,03/07/24,Other Ground Transportation,53141,201558,  209.07 
NC2404038944,03/26/24,03/30/24,Other Ground Transportation,53141,201585-13000,  130.61 
NC2404038944,03/26/24,03/30/24,Mileage,53141,201585-13000,  28.81 
NC2404038961,03/10/24,03/16/24,Other Ground Transportation,53141,534898,  158.92 
NC2404038968,02/15/24,02/17/24,Other Ground Transportation,53141,215020,  185.98 
NC2404048984,02/29/24,03/01/24,Other Ground Transportation,53141,675317,  88.92 
NC2404048989,03/17/24,03/19/24,Other Ground Transportation,53141,682480,  22.21 
NC2404048989,03/17/24,03/19/24,Other Ground Transportation,53141,354322,  47.20 
NC2404048995,03/04/24,03/07/24,Other Ground Transportation,53141,762533-02845,  183.96 
NC2404048995,03/04/24,03/07/24,Mileage,53141,762533-02845,  83.08 
NC2404049013,03/12/24,03/14/24,Mileage,53141,568319-09942,  640.52 
NC2404049015,03/25/24,03/28/24,Other Ground Transportation,53141,257585-04002,  12.00 
NC2404049015,03/25/24,03/28/24,Other Ground Transportation,53141,257585-04010,  12.00 
NC2404049024,03/04/24,03/07/24,Other Ground Transportation,53141,762533-02845,  114.33 
NC2404049030,02/28/24,03/01/24,Other Ground Transportation,53141,201430-07430,  39.96 
NC2404049044,03/22/24,03/25/24,Mileage,53141,257235,  371.18 
NC2404049044,03/22/24,03/25/24,Other Ground Transportation,53141,257235,  300.46 
NC2404049063,03/24/24,03/27/24,Other Ground Transportation,53141,201584-99999,  91.87 
NC2404049065,03/31/24,04/02/24,Mileage,53141,201463,  26.80 
NC2404049065,03/31/24,04/02/24,Other Ground Transportation,53141,201463,  171.14 
NC2404059082,04/02/24,04/04/24,Other Ground Transportation,53141,583933-02988,  20.00 
NC2404059088,04/03/24,,Mileage,53141,257585-04001,  190.28 
NC2404059097,03/01/24,03/03/24,Mileage,53141,500559,  100.50 
NC2404059101,04/01/24,04/01/24,Other Ground Transportation,53141,763909-11600,  14.70 
NC2404059105,01/02/24,01/06/24,Other Ground Transportation,53141,534887,  74.88 
NC2404059108,03/10/24,03/15/24,Other Ground Transportation,53141,534898,  130.76 
NC2404059109,03/03/24,03/05/24,Mileage,53141,201404,  254.60 
NC2404059114,01/19/24,01/19/24,Mileage,53141,361471-10003,  44.22 
NC2404059115,02/06/24,02/06/24,Mileage,53141,361471-10003,  44.22 
NC2404059121,02/28/24,02/28/24,Mileage,53141,361471-10003,  44.22 
NC2404059123,02/29/24,03/02/24,Other Ground Transportation,53141,201584-50501,  49.82 
NC2404059126,03/04/24,03/04/24,Mileage,53141,361471-10003,  44.22 
NC2404059163,03/07/24,03/19/24,Other Ground Transportation,53141,673830-20182,  30.69 
NC2404059163,03/07/24,03/19/24,Mileage,53141,673830-20182,  16.08 
NC2404079193,04/05/24,04/07/24,Mileage,53141,567227-02805,  335.00 
NC2404089228,03/08/24,03/16/24,Other Ground Transportation,53141,376532-62005,  43.53 
NC2404089233,03/21/24,03/23/24,Other Ground Transportation,53141,257581-42338,  25.09 
NC2404089233,03/21/24,03/23/24,Mileage,53141,257581-42338,  8.25 
NC2404089233,03/21/24,03/23/24,Mileage,53141,201587-50007,  21.23 
NC2404089233,03/21/24,03/23/24,Other Ground Transportation,53141,201587-50007,  64.52 
NC2404089242,04/08/24,,Mileage,53141,769375,  480.39 
NC2404089245,04/05/24,04/05/24,Mileage,53141,361471-10003,  111.22 
NC2404089288,03/19/24,03/23/24,Mileage,53141,201006,  300.16 
NC2404099328,04/03/24,04/05/24,Other Ground Transportation,53141,201551-02107,  73.94 
NC2404099331,04/03/24,04/06/24,Mileage,53141,201559,  252.59 
NC2404099333,03/18/24,03/22/24,Mileage,53141,376289,  54.94 
NC2404099341,04/03/24,04/05/24,Other Ground Transportation,53141,201551-02107,  58.00 
NC2404099350,03/19/24,03/21/24,Mileage,53141,201430-07430,  7.37 
NC2404099350,03/19/24,03/21/24,Other Ground Transportation,53141,201430-07430,  34.46 
NC2404099365,04/01/24,04/07/24,Other Ground Transportation,53141,201551-02107,  84.35 
NC2404099368,04/03/24,04/05/24,Mileage,53141,201551-02107,  276.04 
NC2404099370,04/02/24,04/04/24,Other Ground Transportation,53141,417050-05145,  161.05 
NC2404099390,02/29/24,03/02/24,Mileage,53141,663422,  259.96 
NC2404099392,02/15/24,02/17/24,Other Ground Transportation,53141,201475,  78.34 
NC2404099403,03/31/24,04/01/24,Other Ground Transportation,53141,453050-10645,  107.93 
NC2404099404,03/01/24,03/03/24,Mileage,53141,567852,  280.06 
NC2404109427,04/03/24,04/06/24,Mileage,53141,687204,  200.33 
NC2404109437,03/21/24,03/24/24,Mileage,53141,201471-10041,  553.42 
NC2404109447,03/28/24,03/30/24,Other Ground Transportation,53141,675317,  126.01 
NC2404109468,04/03/24,04/05/24,Other Ground Transportation,53141,201551-02107,  74.96 
NC2404109477,04/08/24,04/09/24,Mileage,53141,257245,  288.77 
NC2404109480,04/09/24,,Mileage,53141,660241-20215,  201.00 
NC2404109491,03/01/24,03/11/24,Other Ground Transportation,53141,661648,  172.43 
NC2404109491,03/01/24,03/11/24,Mileage,53141,661648,  145.39 
NC2404109498,03/28/24,03/30/24,Other Ground Transportation,53141,662872,  194.44 
NC2404109539,03/08/24,03/20/24,Mileage,53141,991465,  24.12 
NC2404109543,10/17/23,10/18/23,Other Ground Transportation,53141,660141-05481,  143.05 
NC2404119559,04/03/24,04/06/24,Mileage,53141,687204,  200.33 
NC2404119571,04/03/24,04/06/24,Other Ground Transportation,53141,687204,  593.94 
NC2404119600,01/17/24,01/18/24,Mileage,53141,201550,  301.50 
NC2404119625,04/03/24,04/06/24,Other Ground Transportation,53141,201563,  50.00 
NC2404119633,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  231.90 
NC2404129654,04/03/24,04/06/24,Other Ground Transportation,53141,687204,  604.82 
NC2404129670,03/06/24,03/08/24,Other Ground Transportation,53141,201586-50019,  213.37 
NC2404129675,03/25/24,03/28/24,Other Ground Transportation,53141,201474,  92.65 
NC2404129720,03/24/24,03/28/24,Other Ground Transportation,53141,561989,  298.70 
NC2404129723,03/24/24,03/27/24,Other Ground Transportation,53141,561989,  156.29 
NC2404129727,03/24/24,03/27/24,Other Ground Transportation,53141,561989,  214.72 
NC2404139733,02/27/24,03/14/24,Other Ground Transportation,53141,201573,  24.24 
NC2404139733,02/27/24,03/14/24,Other Ground Transportation,53141,679658,  25.05 
NC2404139733,02/27/24,03/14/24,Other Ground Transportation,53141,669839,  31.52 
NC2404139750,11/13/23,11/14/23,Other Ground Transportation,53141,660141-05481,  32.00 
NC2404139751,10/30/23,11/01/23,Other Ground Transportation,53141,660141-05481,  38.00 
NC2404159800,04/09/24,04/09/24,Mileage,53141,444050-45146,  40.20 
NC2404159801,04/12/24,04/12/24,Mileage,53141,444050-45146,  120.60 
NC2404159833,03/20/24,03/21/24,Mileage,53141,257585-04008,  180.90 
NC2404159863,04/01/24,04/02/24,Other Ground Transportation,53141,201430-07430,  105.14 
NC2404159880,04/06/24,04/14/24,Other Ground Transportation,53141,500763-21178,  79.72 
NC2404159881,02/29/24,03/02/24,Other Ground Transportation,53141,663422,  118.14 
NC2404159889,03/31/24,04/02/24,Other Ground Transportation,53141,201584-50602,  224.34 
NC2404159893,03/24/24,03/27/24,Other Ground Transportation,53141,201580-10001,  142.26 
NC2404159900,03/07/24,03/09/24,Other Ground Transportation,53141,663422,  114.43 
NC2404159919,04/07/24,04/09/24,Other Ground Transportation,53141,201584-50602,  63.09 
NC2404160001,03/08/24,03/16/24,Other Ground Transportation,53141,376532-62002,  211.70 
NC2404160005,03/21/24,03/24/24,Other Ground Transportation,53141,251460-00001,  140.71 
NC2404160013,03/20/24,03/22/24,Other Ground Transportation,53141,675317,  272.41 
NC2404160030,02/29/24,03/02/24,Other Ground Transportation,53141,675317,  46.34 
NC2404160045,03/24/24,03/27/24,Other Ground Transportation,53141,561989,  74.27 
NC2404169949,04/08/24,04/11/24,Other Ground Transportation,53141,573742-11119,  29.95 
NC2404169949,04/08/24,04/11/24,Other Ground Transportation,53141,573733-11119,  29.94 
NC2404169951,04/07/24,04/11/24,Mileage,53141,573733-11119,  26.80 
NC2404169951,04/07/24,04/11/24,Other Ground Transportation,53141,573733-11119,  11.45 
NC2404169951,04/07/24,04/11/24,Other Ground Transportation,53141,573742-11119,  11.46 
NC2404169951,04/07/24,04/11/24,Mileage,53141,573742-11119,  26.80 
NC2404169963,04/11/24,04/13/24,Mileage,53141,201471-10040,  33.50 
NC2404169963,04/11/24,04/13/24,Other Ground Transportation,53141,201471-10040,  87.50 
NC2404169980,03/21/24,03/24/24,Other Ground Transportation,53141,201471-10041,  80.00 
NC2404169980,03/21/24,03/24/24,Mileage,53141,201471-10041,  203.68 
NC2404169982,04/03/24,04/06/24,Other Ground Transportation,53141,573657,  127.04 
NC2404169984,03/06/24,03/17/24,Other Ground Transportation,53141,376532-62005,  188.33 
NC2404170052,03/07/24,03/10/24,Other Ground Transportation,53141,417050-05145,  230.03 
NC2404170062,03/31/24,04/05/24,Other Ground Transportation,53141,660161-02965,  223.25 
NC2404170064,04/14/24,04/16/24,Mileage,53141,201430-07430,  243.88 
NC2404170069,03/21/24,03/24/24,Other Ground Transportation,53141,201471-10041,  414.99 
NC2404170126,03/24/24,03/27/24,Other Ground Transportation,53141,561989,  138.73 
NC2404170128,03/24/24,03/28/24,Other Ground Transportation,53141,561989,  87.76 
NC2404180139,03/04/24,03/13/24,Other Ground Transportation,53141,762533,  78.39 
NC2404180153,04/02/24,04/02/24,Mileage,53141,761199,  154.10 
NC2404180160,03/08/24,,Mileage,53141,769189,  77.72 
NC2404180184,03/24/24,03/27/24,Other Ground Transportation,53141,561989,  89.17 
NC2404180188,03/07/24,03/18/24,Other Ground Transportation,53141,991465,  44.38 
NC2404180189,04/08/24,04/14/24,Other Ground Transportation,53141,201551-01416,  288.21 
NC2404180204,03/28/24,03/29/24,Other Ground Transportation,53141,201430-07430,  75.64 
NC2404180205,04/04/24,04/07/24,Other Ground Transportation,53141,201430-07430,  53.86 
NC2404180222,02/26/24,03/03/24,Other Ground Transportation,53141,660167-11104,  58.61 
NC2404190244,04/08/24,04/11/24,Other Ground Transportation,53141,215035,  54.77 
NC2404190256,04/08/24,04/11/24,Other Ground Transportation,53141,215035,  76.61 
NC2404190294,03/01/24,,Mileage,53141,769189,  74.37 
NC2404220393,04/11/24,04/12/24,Mileage,53141,201587-50007,  536.00 
NC2404220417,04/07/24,04/11/24,Other Ground Transportation,53141,573733-11119,  52.00 
NC2404220417,04/07/24,04/11/24,Other Ground Transportation,53141,573742-11119,  52.00 
NC2404220421,04/18/24,,Mileage,53141,769326,  225.12 
NC2404220431,04/18/24,,Other Ground Transportation,53141,769326,  15.00 
NC2404220431,04/18/24,,Mileage,53141,769326,  221.10 
NC2404220446,04/08/24,04/11/24,Other Ground Transportation,53141,573733-11119,  115.54 
NC2404220446,04/08/24,04/11/24,Other Ground Transportation,53141,573742-11119,  115.54 
NC2404220451,04/06/24,04/21/24,Other Ground Transportation,53141,257585-04010,  146.16 
NC2404220477,03/18/24,03/19/24,Mileage,53141,375734,  220.43 
NC2404220483,04/11/24,04/13/24,Other Ground Transportation,53141,257465,  78.93 
NC2404220486,03/01/24,03/03/24,Other Ground Transportation,53141,500559,  167.98 
NC2404220491,04/09/24,04/12/24,Other Ground Transportation,53141,201445,  171.75 
NC2404220495,04/11/24,04/13/24,Other Ground Transportation,53141,257465,  20.00 
NC2404220497,04/11/24,04/14/24,Other Ground Transportation,53141,411052-02976,  30.00 
NC2404220504,04/14/24,04/16/24,Mileage,53141,201474,  77.05 
NC2404220513,02/28/24,03/02/24,Other Ground Transportation,53141,675317,  129.73 
NC2404230541,04/10/24,04/12/24,Other Ground Transportation,53141,215141-10010,  231.75 
NC2404230547,04/22/24,04/22/24,Other Ground Transportation,53141,769326,  132.14 
NC2404230555,04/14/24,04/16/24,Mileage,53141,673877,  290.78 
NC2404230574,04/14/24,04/20/24,Other Ground Transportation,53141,573742-11119,  36.79 
NC2404230574,04/14/24,04/20/24,Mileage,53141,573742-11119,  5.36 
NC2404230574,04/14/24,04/20/24,Mileage,53141,573733-11119,  5.36 
NC2404230574,04/14/24,04/20/24,Other Ground Transportation,53141,573733-11119,  36.79 
NC2404230579,04/14/24,04/16/24,Mileage,53141,673877,  290.78 
NC2404230592,04/07/24,04/09/24,Other Ground Transportation,53141,201430-07430,  149.46 
NC2404230592,04/07/24,04/09/24,Mileage,53141,201430-07430,  32.83 
NC2404230595,04/10/24,04/11/24,Other Ground Transportation,53141,215141-10010,  154.37 
NC2404230625,04/09/24,04/10/24,Other Ground Transportation,53141,668283,  40.25 
NC2404230625,04/09/24,04/10/24,Mileage,53141,668283,  21.44 
NC2404230628,03/06/24,03/07/24,Other Ground Transportation,53141,675317,  103.16 
NC2404230636,03/29/24,03/31/24,Other Ground Transportation,53141,201430-07430,  260.09 
NC2404230639,04/06/24,04/15/24,Other Ground Transportation,53141,573742-11119,  13.30 
NC2404230639,04/06/24,04/15/24,Other Ground Transportation,53141,573733-11119,  13.30 
NC2404240698,03/28/24,03/29/24,Other Ground Transportation,53141,662872,  298.84 
NC2404240700,03/28/24,03/30/24,Other Ground Transportation,53141,662872,  59.69 
NC2404240731,03/06/24,03/18/24,Mileage,53141,376532-61008,  30.82 
NC2404240737,04/08/24,04/13/24,Other Ground Transportation,53141,662332,  94.71 
NC2404250757,04/15/24,04/17/24,Other Ground Transportation,53141,765520,  240.56 
NC2404250757,04/15/24,04/17/24,Mileage,53141,765520,  21.44 
NC2404250758,04/15/24,04/17/24,Mileage,53141,204500,  236.51 
NC2404250761,04/17/24,04/17/24,Mileage,53141,201095-20415,  95.14 
NC2404250774,04/07/24,04/11/24,Other Ground Transportation,53141,573733-11119,  50.49 
NC2404250774,04/07/24,04/11/24,Other Ground Transportation,53141,573742-11119,  50.50 
NC2404250790,04/22/24,04/23/24,Other Ground Transportation,53141,769326,  72.00 
NC2404250796,04/22/24,04/23/24,Other Ground Transportation,53141,301835,  416.29 
NC2404250819,04/11/24,04/13/24,Other Ground Transportation,53141,675317,  267.66 
NC2404260857,03/07/24,03/09/24,Mileage,53141,375942-48893,  505.18 
NC2404260865,03/21/24,03/24/24,Other Ground Transportation,53141,201471-10041,  186.25 
NC2404260876,04/15/24,,Mileage,53141,257585-04004,  33.50 
NC2404260913,04/23/24,04/24/24,Other Ground Transportation,53141,769326,  10.00 
NC2404260913,04/23/24,04/24/24,Mileage,53141,769326,  371.18 
NC2404260917,04/24/24,,Other Ground Transportation,53141,769326,  30.00 
NC2404260919,04/24/24,04/24/24,Other Ground Transportation,53141,769326,  214.04 
NC2404260921,04/03/24,04/06/24,Other Ground Transportation,53141,376238,  76.44 
NC2404260930,04/08/24,04/12/24,Other Ground Transportation,53141,662332,  27.53 
NC2404260934,04/08/24,04/10/24,Mileage,53141,660167-11104,  298.82 
NC2404260936,04/11/24,04/13/24,Other Ground Transportation,53141,201587-50007,  92.55 
NC2404291003,04/14/24,04/20/24,Other Ground Transportation,53141,573742-11119,  53.79 
NC2404291003,04/14/24,04/20/24,Mileage,53141,573733-11119,  28.47 
NC2404291003,04/14/24,04/20/24,Mileage,53141,573742-11119,  28.48 
NC2404291003,04/14/24,04/20/24,Other Ground Transportation,53141,573733-11119,  53.79 
NC2404291035,04/14/24,04/19/24,Mileage,53141,204100-15173,  158.12 
NC2404291043,04/29/24,04/30/24,Other Ground Transportation,53141,562331,  130.07 
NC2404291054,04/14/24,04/20/24,Other Ground Transportation,53141,573733-11119,  76.65 
NC2404291054,04/14/24,04/20/24,Other Ground Transportation,53141,573742-11119,  76.65 
NC2404291067,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  22.84 
NC2404291067,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  22.83 
NC2404291067,02/25/24,02/29/24,Mileage,53141,573933-11119,  6.03 
NC2404291067,02/25/24,02/29/24,Mileage,53141,573945-11119,  6.03 
NC2404291077,04/07/24,04/11/24,Mileage,53141,573733-11119,  182.24 
NC2404291077,04/07/24,04/11/24,Mileage,53141,573742-11119,  182.24 
NC2404291083,04/19/24,04/21/24,Mileage,53141,371419,  414.06 
NC2404291088,03/22/24,04/01/24,Other Ground Transportation,53141,769432-99961,  286.52 
NC2404291102,04/07/24,04/11/24,Mileage,53141,573742-11119,  241.87 
NC2404291102,04/07/24,04/11/24,Mileage,53141,573733-11119,  241.87 
NC2404291110,03/02/24,03/10/24,Other Ground Transportation,53141,675317,  74.84 
NC2404291113,04/23/24,04/25/24,Other Ground Transportation,53141,672429,  129.88 
NC2404291131,04/14/24,04/23/24,Mileage,53141,573733-11119,  8.71 
NC2404291131,04/14/24,04/23/24,Mileage,53141,573742-11119,  8.71 
NC2404291131,04/14/24,04/23/24,Other Ground Transportation,53141,573742-11119,  54.95 
NC2404291131,04/14/24,04/23/24,Other Ground Transportation,53141,573733-11119,  54.95 
NC2404291135,04/14/24,04/20/24,Other Ground Transportation,53141,573742-11119,  40.80 
NC2404291135,04/14/24,04/20/24,Other Ground Transportation,53141,573733-11119,  40.80 
NC2404291138,04/14/24,04/20/24,Mileage,53141,573742-11119,  56.28 
NC2404291138,04/14/24,04/20/24,Other Ground Transportation,53141,573742-11119,  66.00 
