IDENTIFIER,TRAVEL_BEGIN_DT,TRAVEL_END_DT,TRAVEL_EXPENSE_CATEGORY,ACCOUNT,PROJECT_ID, AMOUNT 
NC2403066399,02/08/24,02/10/24,Other Ground Transportation,53141,350270,  146.46 
NC2403066411,02/29/24,03/02/24,Other Ground Transportation,53141,214020-00005,  167.69 
NC2403066415,02/23/24,02/24/24,Mileage,53141,762692,  184.92 
NC2403066419,02/25/24,02/28/24,Other Ground Transportation,53141,440050-10600,  90.00 
NC2403066420,02/16/24,02/18/24,Mileage,53141,662590,  282.07 
NC2403066426,02/29/24,,Mileage,53141,201582-01003,  114.57 
NC2403066434,02/22/24,02/25/24,Other Ground Transportation,53141,201586-50019,  41.45 
NC2403066438,02/19/24,02/21/24,Other Ground Transportation,53141,500624,  87.84 
NC2403066439,02/17/24,02/20/24,Other Ground Transportation,53141,257585-04004,  21.87 
NC2403066446,03/04/24,03/04/24,Mileage,53141,201559,  249.24 
NC2403066448,03/04/24,03/04/24,Mileage,53141,201559,  10.72 
NC2403066450,02/29/24,,Mileage,53141,201582-01003,  599.65 
NC2403066452,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  44.98 
NC2403066459,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  55.97 
NC2403066462,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  24.73 
NC2403066464,02/29/24,03/03/24,Other Ground Transportation,53141,201582-01003,  69.00 
NC2403066471,11/03/23,11/06/23,Other Ground Transportation,53141,568516,  25.00 
NC2403066476,02/23/24,02/29/24,Other Ground Transportation,53141,573945-11119,  27.88 
NC2403066476,02/23/24,02/29/24,Other Ground Transportation,53141,573933-11119,  27.87 
NC2403066477,02/25/24,02/29/24,Other Ground Transportation,53141,573933-11119,  5.00 
NC2403066477,02/25/24,02/29/24,Mileage,53141,573933-11119,  14.07 
NC2403066477,02/25/24,02/29/24,Other Ground Transportation,53141,573945-11119,  5.00 
NC2403066477,02/25/24,02/29/24,Mileage,53141,573945-11119,  14.07 
NC2403076485,02/28/24,03/01/24,Mileage,53141,214020-00005,  21.44 
NC2403076485,02/28/24,03/01/24,Other Ground Transportation,53141,214020-00005,  38.58 
NC2403076488,02/25/24,02/27/24,Other Ground Transportation,53141,214020-00005,  96.49 
NC2403076492,02/29/24,,Mileage,53141,201582-01001,  114.57 
NC2403076495,02/29/24,03/04/24,Other Ground Transportation,53141,201582-01003,  28.69 
NC2403076502,02/24/24,02/29/24,Other Ground Transportation,53141,573945-11119,  33.29 
NC2403076502,02/24/24,02/29/24,Other Ground Transportation,53141,573933-11119,  33.29 
